2021-09-22T09:00:00,2021-09-22T09:15:00
2021-09-22T09:15:00,2021-09-22T09:30:00
2021-09-22T09:30:00,2021-09-22T09:45:00
2021-09-22T09:45:00,2021-09-22T10:00:00

2021-09-22T10:00:00,2021-09-22T10:15:00
2021-09-22T10:15:00,2021-09-22T10:30:00
2021-09-22T10:30:00,2021-09-22T10:45:00
2021-09-22T10:45:00,2021-09-22T11:00:00

2021-09-22T11:00:00,2021-09-22T11:15:00
2021-09-22T11:15:00,2021-09-22T11:30:00
2021-09-22T11:30:00,2021-09-22T11:45:00
2021-09-22T11:45:00,2021-09-22T12:00:00

2021-09-22T13:00:00,2021-09-22T13:15:00
2021-09-22T13:15:00,2021-09-22T13:30:00
2021-09-22T13:30:00,2021-09-22T13:45:00
2021-09-22T13:45:00,2021-09-22T14:00:00

2021-09-22T14:00:00,2021-09-22T14:15:00
2021-09-22T14:15:00,2021-09-22T14:30:00
2021-09-22T14:30:00,2021-09-22T14:45:00
2021-09-22T14:45:00,2021-09-22T15:00:00

2021-09-22T15:00:00,2021-09-22T15:15:00
2021-09-22T15:15:00,2021-09-22T15:30:00
2021-09-22T15:30:00,2021-09-22T15:45:00
2021-09-22T15:45:00,2021-09-22T16:00:00

2021-09-22T16:00:00,2021-09-22T16:15:00
2021-09-22T16:15:00,2021-09-22T16:30:00
2021-09-22T16:30:00,2021-09-22T16:45:00
2021-09-22T16:45:00,2021-09-22T17:00:00




2021-09-23T09:00:00,2021-09-23T09:15:00
2021-09-23T09:15:00,2021-09-23T09:30:00
2021-09-23T09:30:00,2021-09-23T09:45:00
2021-09-23T09:45:00,2021-09-23T10:00:00

2021-09-23T10:00:00,2021-09-23T10:15:00
2021-09-23T10:15:00,2021-09-23T10:30:00
2021-09-23T10:30:00,2021-09-23T10:45:00
2021-09-23T10:45:00,2021-09-23T11:00:00

2021-09-23T11:00:00,2021-09-23T11:15:00
2021-09-23T11:15:00,2021-09-23T11:30:00
2021-09-23T11:30:00,2021-09-23T11:45:00
2021-09-23T11:45:00,2021-09-23T12:00:00

2021-09-23T13:00:00,2021-09-23T13:15:00
2021-09-23T13:15:00,2021-09-23T13:30:00
2021-09-23T13:30:00,2021-09-23T13:45:00
2021-09-23T13:45:00,2021-09-23T14:00:00

2021-09-23T14:00:00,2021-09-23T14:15:00
2021-09-23T14:15:00,2021-09-23T14:30:00
2021-09-23T14:30:00,2021-09-23T14:45:00
2021-09-23T14:45:00,2021-09-23T15:00:00

2021-09-23T15:00:00,2021-09-23T15:15:00
2021-09-23T15:15:00,2021-09-23T15:30:00
2021-09-23T15:30:00,2021-09-23T15:45:00
2021-09-23T15:45:00,2021-09-23T16:00:00

2021-09-23T16:00:00,2021-09-23T16:15:00
2021-09-23T16:15:00,2021-09-23T16:30:00
2021-09-23T16:30:00,2021-09-23T16:45:00
2021-09-23T16:45:00,2021-09-23T17:00:00




2021-09-24T09:00:00,2021-09-24T09:15:00
2021-09-24T09:15:00,2021-09-24T09:30:00
2021-09-24T09:30:00,2021-09-24T09:45:00
2021-09-24T09:45:00,2021-09-24T10:00:00

2021-09-24T10:00:00,2021-09-24T10:15:00
2021-09-24T10:15:00,2021-09-24T10:30:00
2021-09-24T10:30:00,2021-09-24T10:45:00
2021-09-24T10:45:00,2021-09-24T11:00:00

2021-09-24T11:00:00,2021-09-24T11:15:00
2021-09-24T11:15:00,2021-09-24T11:30:00
2021-09-24T11:30:00,2021-09-24T11:45:00
2021-09-24T11:45:00,2021-09-24T12:00:00

2021-09-24T13:00:00,2021-09-24T13:15:00
2021-09-24T13:15:00,2021-09-24T13:30:00
2021-09-24T13:30:00,2021-09-24T13:45:00
2021-09-24T13:45:00,2021-09-24T14:00:00

2021-09-24T14:00:00,2021-09-24T14:15:00
